tweetId,tweetText
1583068735480688640,"Paul Krugman
@paulkrugman
What's depressing about this is that in reality rural America is heavily subsidized by urban America 1/
washingtonpost.com
Analysis | Why resentful rural Americans vote Republican
If Republicans win back the House, rural voters harboring resentment about their resourcing and representation will be key.
5:12 AM · Oct 20, 2022"
1578096985227558912,"Michelle Steel
@MichelleSteelCA
I want to be explicitly clear: My opponent has supported and continues to support a program that has been unilaterally condemned as a foreign mission of Communist China to infiltrate our classrooms and push their CCP-sponsored propaganda 1/8
Readers added context they thought people might want to know
Use of the Confucius Classroom program to teach Mandarin in schools was promoted and encouraged by the GW Bush administration. Concerns about the program’s use as a propaganda tool began to be raised in 2017, after Chen had left the school board where he’d voted to use it. 
vietfactcheck.org/2022/10/05/is-…
brookings.edu/articles/its-t…
latimes.com/politics/story…
Context is written by people who use X, and appears when rated helpful by others.  Find out more.
11:56 AM · Oct 6, 2022"
1584627673891938306,"Occupy Democrats
@OccupyDemocrats
If your answer is NO, consider joining @TribelSocial to get your Tribel account ready for the looming exodus from Twitter to Tribel social network. Hundreds of thousands of progressives have already done so, including Occupy Democrats. Here’s the link: https://bit.ly/3Mlwa5T
Readers added context they thought people might want to know
Both the OccupyDemocrats Twitter account and the Tribel social media service are owned and run by Omar & Rafael Rivero. As the account mainly boosts progressive messages and voices, it's misleading to obscure this link. 

twitter.com/OmarRiverosays 
twitter.com/travisakers/st…
Context is written by people who use X, and appears when rated helpful by others.  Find out more.
12:27 PM · Oct 24, 2022"
1583986853417725952,"Occupy Democrats
@OccupyDemocrats
We’re there as well! Please make sure that you download the @TribelSocial app and folllow us on Tribel! Here’s the link: http://tribel.app.link/okwPIHYCIqb
This post is unavailable.
6:01 PM · Oct 22, 2022"
1584715133267611648,"Occupy Democrats
@OccupyDemocrats
BREAKING: New Twitter/Facebook competitor @TribelSocial network quickly bans infamous far-right social media hate group 
@libsoftiktok
 after they join and fire off a series of bigoted posts against the LGBTQ+ community. RT TO THANK TRIBEL FOR STANDING WITH THE LGBTQ+ COMMUNITY!
Readers added context they thought people might want to know
Both the OccupyDemocrats Twitter account and the Tribel social media service are owned and run by Omar & Rafael Rivero. Posting about it in this way implies the authors are independently covering a notable progressive company rather than boosting their own site. 

twitter.com/OmarRiverosays 
twitter.com/travisakers/st…
Context is written by people who use X, and appears when rated helpful by others.  Find out more.
6:15 PM · Oct 24, 2022"
1584706993343692803,"Ben Shapiro
@benshapiro
Utah requires Mike Lee. Lee is a conservative who takes the Constitution incredibly seriously; McMullin will caucus with the Democrats. It's that simple.
Readers added context they thought people might want to know
McMullin has stated that he does not intend to caucus with either party. 

politico.com/news/2022/10/1… 
Context is written by people who use X, and appears when rated helpful by others.  Find out more.
5:42 PM · Oct 24, 2022"
1584857448631902213,"The Museum of Curiosities
@CuriosMuseum
In 1731, King Frederick I of Sweden gave a lion he had killed to a taxidermist who had never seen a lion before, and this was the result.
3:40 AM · Oct 25, 2022"
1585006632916127744,"Occupy Democrats
@OccupyDemocrats
BREAKING: Bloomberg drops bombshell, reveals that Musk just told his bankers during a video call that he will complete his purchase of Twitter on Friday, sending progressive Twitter users flocking to create accounts on @TribelSocial, a new pro-democracy Twitter alternative. RT!
1:33 PM · Oct 25, 2022"
1584921795844513794,"Occupy Democrats
@OccupyDemocrats
BREAKING: @TribelSocial announces that its algorithms “successfully fought off a wave” of trolls from “the notoriously racist and homophobic 
@libsoftiktok
” account, declaring that Tribel “suppressed their posts — exactly as intended.” RT TO THANK TRIBEL FOR STANDING AGAINST HATE!
Readers added context they thought people might want to know
Both the OccupyDemocrats Twitter account and the Tribel social media service are owned and run by Omar & Rafael Rivero. It's misleading to present as 'news' what is effectively an advertisement. 

twitter.com/OmarRiverosays 
twitter.com/travisakers/st…
Context is written by people who use X, and appears when rated helpful by others.  Find out more.
7:56 AM · Oct 25, 2022"
1585115891913854976,"Occupy Democrats
@OccupyDemocrats
We’re already on @TribelSocial! Download their new app and follow us! Here’s the link: https://bit.ly/3gjUkli 
We Will Keep America in 2024
@VaxxedthanksJoe
·
Oct 25, 2022
Who all is headed over to @TribelSocial or has already got an acct? I want to know who to follow once I get my acct...which will happen the moment musk buys twitter.
8:47 PM · Oct 25, 2022"
1584585527126536192,"Gavin Newsom
@GavinNewsom
They pay higher electricity bills in Texas, in Florida, in Indiana than they do in the state of California.

Fox News might not be interested in the facts -- but we are.
Gavin Newsom: GOP States ‘Doubling Down on Stupid’ on ‘Energy Stuff’
From 
The Recount
Readers added context they thought people might want to know
California pays on average $18.00 per kWh for electricity. Here is the average price paid per kWh in the states mentioned by Gavin Newsom:
TX - $8.36
FL - $10.06
IN - $9.92

Data from the US Energy Information Administration: eia.gov/electricity/st…
Context is written by people who use X, and appears when rated helpful by others.  Find out more.
9:40 AM · Oct 24, 2022"
1585350115736571904,"Occupy Democrats
@OccupyDemocrats
BREAKING: Elon Musk tweets a video of him moving in to Twitter headquarters, signaling that his purchase is complete. In retaliation to his plans to invite Trump & his neo-nazis back, millions of angry Twitter users join @TribelSocial, a new pro-democracy Twitter alternative. RT!
Readers added context they thought people might want to know
Both the OccupyDemocrats Twitter account and the Tribel social media service are owned and run by Omar & Rafael Rivero. Posting about it without disclosing the link implies the authors are independently covering progressive alternative rather than promoting their own site. 
twitter.com/OmarRiverosays 
twitter.com/travisakers/st…
Context is written by people who use X, and appears when rated helpful by others.  Find out more.
12:18 PM · Oct 26, 2022"
1585269346498187267,"John Fetterman
@JohnFetterman
My message at the #PASenateDebate was loud + clear: 

I will fight for PA. Dr. Oz will only fight for himself.
6:57 AM · Oct 26, 2022"
1585402204843917313,"Madeline T. Morcelle (she/her)
@madeline4health
I am outraged. This signage by 
@TheWharfDC
 says NO MASKS—a critical and lifesaving public health intervention—are allowed on Wharf property. Meanwhile, we are still experiencing a pandemic of COVID-19, an airborne virus. 
@_DCHealth
 @MayorBowser
ALT
Readers added context they thought people might want to know
This sign predates pandemic masking and is actually referring to Halloween masks. This sign is posted during October.

See this photograph of the sign from 2019: twitter.com/SteveKiviat/st…
Context is written by people who use X, and appears when rated helpful by others.  Find out more.
3:45 PM · Oct 26, 2022
Who can reply?
People @madeline4health follows or mentioned can reply"
1585619861169999876,"Occupy Democrats
@OccupyDemocrats
BREAKING: New pro-Democracy Twitter alternative @TribelSocial announces that it has preemptively blocked Donald Trump, 
@DonaldJTrumpJr
, and Kanye West from its social network, citing their “spreading of dangerous conspiracies and fake news.” RT IF YOU SUPPORT TRIBEL’S DECISION!
6:10 AM · Oct 27, 2022"
1585338294639898624,"Twitchy Team
@TwitchyTeam
Newsweek fact-check explains why ‘Ted Cruz’s claim that ‘Antifa’ burnt U.S. cities for a year’ is flat-out false https://bit.ly/3W54V40
11:31 AM · Oct 26, 2022"
